comentario,fecha_publicacion,num_likes,sentimiento,idioma_original
compre good not 5,2024-03-05,1.0,1,es
agreguir tabla recuadro grafica,2024-09-12,0.0,1,es
holar plantilla,2024-05-29,1.0,0,es
holaa pon panel herramienta abajo,2024-05-31,0.0,1,es
pagar good not plantilla tienda costo,2024-07-16,0.0,1,es
hola explicar planner necesitooo,2024-08-13,0.0,1,es
hola app pago,2024-06-09,0.0,1,es
unico odar goodnot organizacion preferir notability,2024-11-14,2.0,0,es
pagar mes,2024-11-24,0.0,1,es
goodnot samsung not,2024-10-12,2.0,1,es
suscripcion pago goodnot 5,2024-11-10,1.0,1,es
hola disculpaque tipo lapiz comprar el,2024-11-24,0.0,1,es
salir pago app querer cambiar,2024-12-01,0.0,0,es
good not samsung not apps recomiendir,2024-10-31,0.0,1,es
jnot ano,2024-10-23,16.0,0,es
disculpar actualiza app poder seguir usar archivo antiguo,2024-11-10,0.0,1,es
actualizacion favoritar version 5 pago 200 mx vida subio 600 mx vida 200 mx anual pfff,2024-11-11,0.0,0,es
compre pegatina usarlosupuestamente descargo coleccion,2024-11-14,0.0,0,es
pagar mensual,2024-10-31,0.0,1,es
querer querer pagar version,2024-09-26,4.0,0,es
duda io android,2024-11-18,0.0,1,es
holi lindo pregunta version good not actualizar el pagar,2024-11-06,0.0,1,es
cuaderno tener fondo comprastar,2024-10-28,0.0,1,es
estario genial hacer escritura libre convertir tipografia escribir lapiz necesidad cuadro texto,2024-11-08,1.0,1,es
salir lapiz,2024-09-27,0.0,0,es
tutorial usar el porfis,2024-09-26,2.0,1,es
lapiz punta fundar,2024-10-30,0.0,0,es
oir aplicacion goodnot,2021-05-23,3.0,1,es
excelente idea cuidar planeta,2021-05-04,6.0,2,es
demostracion computadora,2021-07-27,6.0,1,es
poder apunte celular,2021-05-24,5.0,0,es
buscar celular,2021-08-03,1.0,1,es
llamar aplicacion,2021-07-27,1.0,1,es
alternativa notability gustar good not,2023-11-19,362.0,2,es
tener estilo ipad,2023-10-03,0.0,2,es
ipad recomendar,2023-10-02,35.0,1,es
ipad 5 generacion 10,2023-11-12,1.0,1,es
tiempo tarea,2023-09-14,6.0,0,es
ipad recomienda 10 generacion,2023-09-10,1.0,1,es
pagar aplicacion gratuito,2023-09-29,0.0,1,es
marcar pad,2023-11-25,1.0,1,es
instalastar fuente,2023-09-17,34.0,1,es
air 4ta generacion funcionar app,2023-09-14,1.0,1,es
intento t juro salir,2023-09-13,0.0,0,es
alguien aplicacion pagar,2023-09-15,19.0,1,es
necesario apunte entendido tema estudiar examen pa apunt,2023-11-17,1.0,0,es
sabado llegar pencil,2023-09-22,2.0,2,es
tecladir ipad,2023-09-14,33.0,1,es
ipad lapiz blanco q querer comprar,2024-03-22,0.0,1,es
salir video alguien subio compro ipad apunte salir salistar jsjsjs,2023-11-12,15.0,0,es
video imagen ver apunte medicina algun tipo ciencia,2023-11-29,45.0,0,es
aplicacion nota ipad,2023-12-02,0.0,1,es
referencia ipad,2023-11-07,0.0,1,es
pregunta descargar computadora worl pdf herramienta trabajo,2024-11-15,0.0,1,es
funcionar ipad mina 4 generacion,2023-11-05,0.0,0,es
holahacir compre ipad comprar pencil tecladome gustario manejar apuntespero deber entregar trabajo escritoscrees servir teclado,2024-10-01,0.0,1,es
chico ayudo recomendable ipad carrera ingenieria sistema,2023-11-29,0.0,1,es
dispositivo instala,2024-02-18,0.0,1,es
mover escribes,2024-07-24,0.0,1,es
pegar mano ipad escribir,2024-08-08,0.0,0,es
goodnote encantar hoja limitado tener quebpagar carpeta hoja,2024-06-11,0.0,0,es
ayuda favor,2023-11-29,0.0,1,es
duro bateria ipad,2024-07-06,0.0,1,es
pregunta good not acabar bateria rapido,2024-01-28,0.0,0,es
gustar compatible,2024-08-19,0.0,0,es
funda teclado pasar link,2024-07-06,0.0,1,es
ipad tien,2023-12-03,0.0,1,es
gustariar q ipad nina empezar universidad m gustario comprar el,2023-10-27,1.0,1,es
pregunta ipad,2024-01-12,0.0,1,es
ipad tien,2023-12-02,0.0,1,es
nombre ipad,2024-07-18,0.0,1,es
ipad amiga,2024-11-27,0.0,1,es
ho el ipad,2023-12-30,0.0,1,es
querer empezar ipad recomendar,2023-11-26,0.0,1,es
holaaar tien link fuente happy memori favorrr,2024-01-09,0.0,1,es
tablet microsoft opcion anadir cien s texto maybe pago saldra miedo pagar el salir jajajar,2024-08-31,0.0,0,es
pon hoja horizontal,2024-09-17,0.0,1,es
protector tener,2024-03-06,0.0,1,es
instalar tablet,2024-07-25,0.0,1,es
lloro android,2024-02-20,0.0,0,es
word traer,2024-09-17,0.0,1,es
forma ocultar barra herramienta goodnot,2023-09-11,1.0,1,es
subir video nota porfa,2024-03-11,0.0,2,es
super cutar teclado eeees,2023-09-10,2.0,2,es
ver cafeteria uss seguro,2023-09-10,2.0,0,es
plantilla conseguiste,2023-09-09,1.0,1,es
tabla herramienta figura geometrica relleno fondo,2023-09-18,2.0,1,es
tamano papel,2024-02-21,1.0,1,es
samsung not app,2023-04-04,2.0,1,es
tener samsung querer tener samsung not,2023-03-13,66.0,0,es
google play,2023-03-07,8.0,1,es
playstore aparecer,2023-05-10,2.0,0,es
compartar nota pc celular trabajar ambos,2023-03-11,1.0,1,es
salir tienda,2023-03-07,0.0,1,es
diferenciar aplicacion nativa nota traer android,2023-03-13,2.0,1,es
zte bladir salir playstore,2024-09-21,0.0,0,es
disponible tableta samsung,2023-03-07,4.0,1,es
samsung no el alguien lanzar,2023-03-07,2.0,1,es
compre ipad tendre qu3 comprar el android,2023-04-04,0.0,1,es
samsung not envidiar el good not,2023-03-11,3.0,2,es
cosa esq obsidian multiplataforma local pc mirar el movil q pagar,2024-08-17,21.0,0,es
hara video obsidian zettelkastir encontrar contenido espanol tik tok mayoria notion gente vender plantil,2024-08-17,5.0,1,es
estar usar obsidian perdido tiempo realmente ver grafico util perdi tiempo rendimiento deber sincronizar podra usar el dispositiv,2024-10-14,0.0,0,es
pasessin querer usar parecido metodo cornell libreta escuela sabio metodologia propiamente,2024-08-17,3.0,0,es
memoria trabajo externo,2024-09-21,3.0,0,es
estudio 2 licenciatura fisico filosofia plataforma recomendar sobretodo fisico,2024-08-17,11.0,1,es
pasar zettelkasten termina ocupar tiempo pensar conectar nota encontrar solucion directo problematica,2024-09-02,1.0,0,es
video explicar funciona,2024-08-29,0.0,1,es
seco ropa,2024-08-21,1.0,0,es
tony buzar decir decada publicacion mapa mental,2024-08-27,0.0,1,es
haber probar appflowy alternativa interesante,2024-08-27,2.0,2,es
preferir obsidiir apunte complejo apunte termin gastar tiempo apunte aprender,2024-11-08,2.0,0,es
decidir obdisidian base dato relacionado notion,2024-11-27,0.0,0,es
notion obsidiar acabar volver notion,2024-08-27,11.0,1,es
ar probar anytype beta prometedor guardar archivo local poder sincronizar nube quieres organizacion obsidian interfaz notion,2024-09-12,1.0,2,es
notion herramienta,2024-08-27,1.0,2,es
obsidiar creativo conocimiento,2024-08-27,0.0,1,es
estudiar ingenieria software obsidian nota notion administrarme,2024-08-27,8.0,1,es
comprar macbook poner el carcasa deformar pantalla opina experiencia,2024-08-31,0.0,0,es
obsidear poder integrar el pluggin pdf excalidraw sql bpmn dot obsidear fluido sincronizo mega google drive,2024-09-01,0.0,1,es
holaa ultimamente ver video explicar q q servir,2024-08-27,0.0,1,es
obsidiar aprendizaje onir note planificacion notio basura lloren,2024-08-29,1.0,0,es
pasar notion obsidian inviert tiempo personalizar el agradable mencionar tremendo plugin xcalidraw,2024-08-28,0.0,2,es
spoiler obsidian,2024-01-30,61.0,2,es
notion echar cierre acordarar usar obsidiar ficheros markdown plano lugar sistema cerrado propietario notion,2024-08-16,3.0,0,es
obsidiar gratis,2024-05-24,6.0,2,es
obsidian base dato relacionado notion,2024-11-27,0.0,1,es
exelent herramienta productividad publico dependera persona,2024-06-16,3.0,2,es
dato adicional pago,2024-02-01,55.0,1,es
entender elijo,2024-03-20,0.0,0,es
llegar limite bloque notion gratis informacion obsidian vrga,2024-08-16,0.0,0,es
obsidiar almacenar local acceso guardar texto plano poder acceder informacion dejar existir obsidian 100 compatible gestor,2024-11-07,0.0,1,es
vend obsidian jajaja vault exceptuar cosa personal,2024-09-01,2.0,1,es
obsidiar notion,2024-09-02,1.0,1,es
funcionir ver nota,2024-09-01,0.0,1,es
elegiste obsidiar alternativa notion,2024-09-02,2.0,1,es
ano usandolo maximo,2024-09-17,0.0,2,es
fascinante telegram grupo obsidiir espanol app potente minimalista zettel not pruebalo,2022-09-27,8.0,2,es
ir aprender obsidiar escuche amigar cambiar video,2024-01-10,19.0,1,es
servir amigu,2024-09-24,0.0,2,es
descubri obsidian re,2023-09-28,4.0,2,es
ano sigues usar,2024-10-04,0.0,1,es
diplomado clase karla super ondaaaa,2024-07-05,1.0,2,es
gracias tenis escribir sabio organizar el,2023-08-10,4.0,0,es
dejar inter,2023-08-27,11.0,0,es
video salio mamada li lu,2024-01-15,3.0,0,es
bastar nooooo usar crear teoria fandom enterar historia planeado absoluto,2024-05-01,830.0,0,es
video todooo,2024-01-26,55.0,2,es
utilizar one note conoci obsidiar,2024-01-28,46.0,1,es
utilizar one note conoci notion,2024-01-26,840.0,1,es
diferenciar escribir apunte word onenote,2024-01-26,23.0,1,es
holaa hoja enorme imprimir el usar onenote desconfigurar querio imprimir,2024-01-26,141.0,0,es
seriar genial video organizacion onenote,2024-01-27,63.0,1,es
ayyyy tour planificacion inspirar yo organizar cuadrados asignatura nota check list ver general ver,2024-03-25,11.0,1,es
hola profesor uni pedir virtual revisar cuaderno fisico,2024-03-28,0.0,0,es
compartir one note,2024-04-18,0.0,1,es
carrera lindo,2024-03-06,0.0,1,es
recomiendas ipad macbook,2024-04-04,2.0,1,es
q estudiar,2024-01-28,2.0,1,es
preocupar dejar funcionar 2025,2024-03-04,65.0,0,es
cata vend onir note perdi enir info cambiar compu interesar comprartelo netamente repasar ramo antiguo ver estudiar,2024-02-08,20.0,1,es
olapp hiciste calendario one note,2024-03-28,0.0,1,es
grabar tomar apunt,2024-05-09,0.0,1,es
marcar lapto fa,2024-03-23,1.0,1,es
entendi uu,2024-03-07,2.0,0,es
holaa hiciste calendario one note favor,2024-03-10,0.0,1,es
video crear cero porfiii recien ano vida facil,2024-03-05,26.0,1,es
hola cata fis video lindo mac uso onir note seco,2024-01-28,0.0,1,es
decir q des tip mac estudiar,2024-02-27,0.0,1,es
dejen onenote ligado nube,2024-03-05,3.0,0,es
holaa recomienda computador ano entro miedo robir ksjsksjsksjd,2024-01-26,40.0,0,es
haber video one note organizacion,2024-02-01,8.0,2,es
habia subido video onir note ocaber maravilloso gracias tip,2024-02-11,0.0,2,es
intentar crear dejar,2024-03-06,0.0,0,es
tanto paz apunte hermoso,2024-03-17,0.0,2,es
mostrar calendario porfa,2024-02-18,0.0,1,es
video crear planner xfa,2024-03-05,0.0,1,es
poder pasar formato apunte pli,2024-03-05,0.0,1,es
alguien agregar participante persona modificar informacion dispositivo personal,2024-11-27,0.0,1,es
agregar pagina seguir,2024-08-25,0.0,1,es
inicio crei hablar idioma jeje,2024-05-26,0.0,1,es
dser organizar apunte app cambiar notion,2024-09-04,0.0,1,es
ver video titulado,2024-03-02,92.0,1,es
woooo chileno rapido,2024-08-17,0.0,1,es
planner mes,2024-08-19,0.0,1,es
comoo imprimir apunte,2024-02-13,0.0,0,es
imprim quedar hoja,2024-03-17,0.0,1,es
video carino,2024-03-06,0.0,2,es
quinto semestre faltar 5 recopilar info,2024-03-16,0.0,1,es
llegar 4 ano video,2024-04-17,0.0,1,es
disculpa configura tamano hoja normal observo apunte terminar limite interesariar aprender imprimo favor,2024-03-05,1.0,1,es
estrellita olvidar tip,2024-05-09,2.0,1,es
metodo organizar,2024-03-17,0.0,2,es
hiciste cronograma,2024-03-04,0.0,1,es
ensena yo usar el,2024-03-04,0.0,0,es
admirar amar gente aplicado organizado disciplinado,2024-03-01,0.0,2,es
espectacular ordenado felicito,2024-03-30,0.0,2,es
entendi b,2024-04-06,0.0,0,es
hola cero,2024-03-12,0.0,1,es
acabar carrera,2024-03-03,0.0,1,es
conversar clase preparar apunte tiempo video maravilla,2024-03-17,1.0,2,es
hola cata porfa haber video explicar planner porfis,2024-03-04,4.0,1,es
pasar sentir faltar opcion hermosear,2024-01-28,3.0,0,es
sabio tipo estudios nerd jejeje mentiro amar cata,2024-01-26,1.0,1,es
relajar verte habl rapido jajajajajar tener carita angel transmit bello bay,2024-01-26,6.0,2,es
pensar reproducir automaticamente x2 contenido saludo afectuoso mexico,2024-01-27,8.0,2,es
pli video planner seccionar semestre,2024-01-29,3.0,1,es
perder tiempo ordenado llenado color quedar perdiar examen,2024-04-07,0.0,0,es
necesitar video organizacion encantar,2024-01-26,7.0,2,es
wooow abristar mundo gracias,2024-03-29,1.0,2,es
lindo apunt,2024-01-26,2.0,2,es
hola encantar video historia girego,2024-01-26,1.0,2,es
ojala desordenado,2024-01-26,2.0,0,es
cata extranar video,2024-01-26,1.0,2,es
gracias dato,2024-09-24,0.0,2,es
tarde precioso estudia carrera,2024-02-08,0.0,1,es
usar canva mega,2024-02-05,0.0,1,es
holar funcionar android servir plan microsoft,2024-01-28,0.0,1,es
necesitar video calendario,2024-01-27,0.0,1,es
gustar quedo preciosooooo,2024-01-27,0.0,2,es
necesitar ano,2024-01-26,0.0,2,es
poder video planificacion mensual necesitar,2024-01-26,0.0,1,es
felicitacion padre,2024-04-14,0.0,2,es
empiecser uni hermanita,2024-03-22,0.0,1,es
amoooo onenote gracias truquito sacarir provecho,2022-09-10,1.0,2,es
amar onenote descargar nube,2022-11-14,0.0,2,es
tener estilo letra gustariar nonse,2024-01-07,33.0,1,es
escribir pagina onenote imprimir tema,2024-08-15,0.0,1,es
opcion onenote pasar bloc actualacer completo demas dispositivo,2022-11-17,1.0,1,es
animacion letra numero power point,2024-06-04,0.0,1,es
toma apunt app utiliza cuaderno,2023-02-13,2.0,1,es
tipo letra descargaste,2024-10-26,0.0,1,es
descargar apunte o0,2022-08-19,16.0,1,es
dalgar pantalla,2022-08-19,1.0,0,es
poder crear pli,2022-08-19,2.0,1,es
pdf vista previo ayuda,2024-09-11,0.0,1,es
salir texto ingl todoooooooo cambiar ayudaaaa,2024-05-13,0.0,0,es
poner subpagina tablet,2024-09-26,1.0,1,es
agregar fuente letra,2023-09-10,0.0,1,es
salir tanto funcion,2024-06-01,0.0,0,es
pagina rayas,2024-02-28,0.0,1,es
dejar arrastra imagen pegar el,2023-05-05,2.0,0,es
poder ensenar descargar pdf porfa,2022-08-28,27.0,1,es
llamar programa,2022-08-31,0.0,1,es
obtener letra stcaiyun,2024-01-07,0.0,1,es
pasar pdf abajo salir pie pagina tema pagina eliminar,2023-07-30,0.0,0,es
obtener laptop,2024-03-13,0.0,1,es
rayar resaltar texto pdf,2022-12-29,1.0,1,es
cambiar plantilla,2024-01-18,0.0,1,es
poder explicar nuevamente agregar subpagin,2022-08-21,3.0,1,es
ver hoja libreta,2023-11-29,2.0,1,es
llevar ano usar one note enterar funcion,2023-04-11,19.0,0,es
cusdrno cuadriculado,2023-02-07,3.0,1,es
descargastir fuente,2023-08-14,0.0,1,es
salir barra herramienta ventana bloc nota etc,2023-06-23,0.0,1,es
guardar pdf,2022-09-23,2.0,1,es
estilo escritura utiliza,2022-11-18,3.0,1,es
cono copia impreso pdf imprimar marca querer,2023-03-18,0.0,1,es
programa paga,2022-08-19,2.0,1,es
encantar cv,2022-08-22,0.0,2,es
holar guapo poder explicar yo descargar pdf porfa graciass,2022-11-22,1.0,1,es
ganar note samsung gustar gustariar,2023-02-23,38.0,1,es
faltar penly goodnot,2023-02-18,59.0,2,es
onenote windows android funcion limitado pc opcion,2023-02-18,539.0,1,es
holar galaxy tab s6 lite lettering,2023-02-18,1.0,1,es
hola borre querer pagina one note idea recuperar el importante gracias,2024-08-28,0.0,0,es
poder tutorial escribir penly samsung not mano transforme tipografia descargado bonito letra,2023-03-03,5.0,0,es
unico onenote poder tablet laptop basico,2023-02-18,6.0,2,es
conocer aplicacion especie blog nota nota compartido pareja,2024-09-12,0.0,1,es
insertar archivo word excel pdf video audio etc poder crear agenda hoja,2023-05-06,15.0,1,es
comprastar case tablet,2023-02-18,1.0,0,es
poner letra,2023-02-25,1.0,1,es
pc ayudar tomar apunte,2023-02-21,20.0,2,es
compu optimizada tablet,2023-03-19,1.0,1,es
onir note pc apunte mirar celular,2023-02-24,24.0,1,es
disculpar pregunta modelo tableto,2023-02-24,1.0,1,es
onir note favorita elpc ipad celu,2023-05-15,4.0,1,es
apple opcion probe tienda,2023-03-01,2.0,1,es
xq sincronizar pc celular,2023-03-01,1.0,1,es
onenote amar descubri obsidian recomeir,2024-03-06,1681.0,2,es
actualiz amigo cambeir google usar notion 90 pasar,2024-03-02,676.0,1,es
ver dedicacion orden perseverancio generosidad trabajo colaborativo tener asegurado exito felicidad,2024-03-04,1036.0,2,es
encantar trauma generacional tapar camara laptop precioso apunte,2024-03-01,3037.0,2,es
padre notion,2024-03-04,66.0,2,es
gusto video ipad,2024-03-01,3110.0,2,es
chica necesita poder buscar plantilla youtube estructures plantilla color tipo letra titulo etc clic plantilla organizar,2024-05-19,0.0,1,es
profe garabato pizarra copia onenote,2024-03-02,150.0,1,es
pon tecla window h activar dictado voz activo automaticamente escribir profesor decir revisa listo,2024-03-02,751.0,1,es
poder notion,2024-03-02,7.0,2,es
onir note unico odar justificar texto,2024-03-01,303.0,0,es
q tomar apunte pasar ano,2024-03-01,1896.0,0,es
compu ocaber app 5to vet confirmar q gooood,2024-03-01,106.0,2,es
descargar tablet salir pagar premiun dejar escribir,2024-02-29,29.0,0,es
latam facil laptop camino bondadoso roba xd,2024-03-03,163.0,0,es
documento escribir one note imprimir pasar el word,2024-02-29,7.0,1,es
guardar archivo opcion archivo inicio insertar dibujar vista ayuda,2024-03-02,0.0,0,es
amar onenote pq quemar computadora q buscar google salir apunt q app celular sincronizar,2024-05-28,0.0,1,es
diablo seguir usar block nota basico tomar apunte v,2024-04-29,0.0,0,es
marti teclear rapido atrasar tu porq siento teclear demorariar escribir lapiz,2024-02-29,219.0,0,es
sonar fuerte teclear querer andar molestar clase jakdkakf,2024-03-01,14.0,1,es
entendi grabar clase tomo apunt tiempo,2024-03-01,2.0,1,es
dejar celular clase,2024-04-28,0.0,0,es
encantariar computadora distraer preferir cuaderno,2024-03-18,0.0,0,es
onir note ipad tomar apunte mano luz,2024-03-04,45.0,2,es
sos ten acento mezclado chilenoparaguayo perdon enojser sos chileno paraguaya jaja,2024-03-05,0.0,1,es
invertir ipad mini poder tomar foto pizarra acaso,2024-03-02,48.0,1,es
apunto empezar copiar profe joven decir guardar portatil,2024-03-06,0.0,1,es
tablet lapiz rapido,2024-03-07,11.0,2,es
q pasario tarea osear maestro firmar,2024-03-04,1.0,1,es
onenote utilizar tablet super recomendar gracias antemano,2024-03-17,0.0,1,es
onenote tremendo herramienta,2024-05-23,1.0,2,es
hola amiga gracias compartir tutorial interesante poder compartir caracteristica notebook porfa gusto gracias bendicion,2024-04-12,0.0,2,es
amiga coloca fondo pantalla computadora salir borroso,2024-04-21,0.0,0,es
grabo clase,2024-03-06,0.0,1,es
onenote android iphonir vincular pc poder tomar revisar apunte movil programazo,2024-03-01,68.0,2,es
q anota prof dictar xq dictar,2024-03-04,0.0,0,es
ocaber trabajar poder sincronizar pc celular tablet cosa apple android windows,2024-03-02,0.0,2,es
cuaderno viejo,2024-03-05,13.0,0,es
amar hoja lapiz team antiguo,2024-03-01,867.0,2,es
encantar apunte gracia aporte,2024-05-05,0.0,2,es
unico video util vi tomar apunte computadora,2024-03-01,750.0,1,es
ver egrese,2024-02-29,61.0,1,es
flojera otrosn,2024-04-18,0.0,1,es
quedar ipad ocupar escribir formula apple pencil,2024-04-30,0.0,1,es
muchisima gracias video necesitar,2024-02-29,9.0,2,es
dariar chance tomar apunte compu parar profesor,2024-05-19,1.0,0,es
grafico caso ciclo full numero grafico,2024-03-17,0.0,1,es
necesitar definitivamentepero tablet,2024-03-05,2.0,1,es
trimestre caso,2024-03-02,0.0,1,es
escribis prof audio,2024-03-03,1.0,1,es
consulta desordenar apunte word tienes algun tip pasar,2024-09-13,0.0,0,es
pon materia color,2024-02-29,1.0,0,es
pizarron docente algun dibujo disenar,2024-05-06,0.0,1,es
imagen lindo,2024-03-01,1.0,1,es
ano apunte lapiz resumen palabra clave abreviada destacador apunte circular curso,2024-03-01,19.0,1,es
poder nombre color word,2024-02-29,1.0,0,es
servir informesensayosetc etc,2024-02-29,3.0,1,es
bacar gracias informacion lindo,2024-03-03,6.0,2,es
3 ano,2024-11-05,0.0,0,es
recomeir drivar equipo,2024-03-01,6.0,2,es
papel lapiz vend apunte,2024-03-04,3.0,1,es
querer imposible fisico analisis,2024-03-03,3.0,0,es
excelente nesecitar,2024-02-29,1.0,0,es
gustar forma habla team cuaderno,2024-03-19,1.0,2,es
escribir rapido tecladooo,2024-03-10,1.0,0,es
ayy buenoo agradecido,2024-02-29,119.0,2,es
llevario pc durar bateria,2024-03-29,0.0,0,es
sabio usar el excelente video,2024-03-04,3.0,2,es
resumeness marti salvavidas,2024-02-29,16.0,2,es
suponer cuaderno hariar resolver ejercicio matematico,2024-05-01,1.0,1,es
video youtube,2024-04-03,0.0,1,es
entro ano derecho necesitar video,2024-03-05,1.0,2,es
cuaderno escribir ajaj,2024-03-01,23.0,1,es
cuadernos 300 hoja,2024-03-06,0.0,1,es
wuaaau concejo dano tipss,2024-02-29,2.0,2,es
trabajo aula sorpresa examen monton hoja cuadernito,2024-03-04,1.0,1,es
gracias tip exito semestre3,2024-03-06,1.0,2,es
ame gracias tip,2024-04-01,0.0,2,es
ooo encantar ahorrar cuaderno,2024-02-29,11.0,2,es
papelito camara,2024-03-17,1.0,1,es
nota notion,2024-03-01,10.0,1,es
dato dejado app olvidar llevarar curso servirar abrazo,2024-04-03,0.0,2,es
ojala dar compu,2024-03-01,4.0,0,es
consulta tapar camara necesario,2024-03-30,0.0,0,es
secar gracia datito,2024-03-06,1.0,2,es
bro querer comprar maquina peluch confiable,2024-05-17,28.0,1,es
tardar llegar cosa,2024-04-30,9.0,1,es
estar revisar aliexpress cosa 099 shein 10 dolar no el sentir confiable,2024-03-21,16.0,0,es
pais hacer ali express jama llegar objeto pedi retornar dinero,2024-11-25,0.0,0,es
hisar compra mercado pago reflejar pago,2024-07-01,0.0,0,es
hacer pedido entregar domicilio,2024-08-16,1.0,0,es
aliexpress cosa mala deber comprar,2024-07-05,0.0,1,es
bro querer comprar tablet xiaomi pad 6 confiable querer estafen,2024-07-01,0.0,0,es
ami aliexpress encuentro super precio defraudado,2024-07-22,0.0,2,es
tienda fisico venezuela,2024-08-06,0.0,1,es
sentir aliexpress betterware hombre,2024-01-24,13.0,0,es
compre sh figuarts disir repartidor robar querer sierto,2024-06-25,0.0,0,es
llegar pid llegar fecha estimado llegar shein llegar parte quedar eliexpr 10 10,2024-07-02,0.0,2,es
pregunta compra salir envio costoso prenda,2024-11-19,0.0,0,es
llevar comprar aliexpress 2018 problema,2024-04-30,4.0,1,es
hacer compra llegar aplicacion salir entregar jama llegar reclame repuesta reembolsarar,2024-10-25,0.0,0,es
seguir entender coma precio,2024-06-02,4.0,0,es
comprir in memoria ram tardar semana llego,2024-06-27,2.0,1,es
express entregar pedido,2024-06-21,0.0,0,es
aliexpress maritimo pediar cosa dejarin llegar lascosa reembolso,2024-05-22,3.0,0,es
aliexpress aves llegar,2024-03-18,2.0,2,es
imagine robo sistematico dinero compra tener esperar 2 3 mes demorar devolver dinero eureka trabajar dinero jajajar,2024-04-16,0.0,0,es
escribir informacion aduana,2024-08-01,0.0,1,es
hacer compra entregar 13 mayo 16 mayo entregar q entregar,2024-05-16,0.0,0,es
eh comprado muchaaaas cosa aliexpress llegar pedir rembolso,2024-02-22,5.0,1,es
compra llego suerte,2024-05-28,0.0,0,es
comprar bastante cosa super barato calidad,2024-02-13,43.0,2,es
dejar comprar cupon 9 pesos dema precio normal,2024-03-23,4.0,0,es
comprar 3 4 producto afip desconfiar retener yo,2024-05-24,0.0,1,es
nesesito copa exteacion gracias,2024-06-09,2.0,1,es
hola consulta precio dolar sol controlar,2024-06-16,0.0,1,es
q significar cerrado q cancelo ordenpedido,2024-08-08,0.0,1,es
m aparecer entregado llego m mandar pagina global express tracking app salio china,2024-03-03,3.0,0,es
venezuela pedido,2024-04-02,0.0,1,es
llegar producto,2024-04-13,5.0,0,es
seguro aplicacion compra,2024-06-12,0.0,1,es
pasar hise pedido tarjeta aparecia cobrar aliexpr saliar debia pagar termino limite pago tarjeta aliex aparecer ped,2024-07-17,0.0,0,es
pregunta precio dolar,2024-11-15,0.0,1,es
querer comprar cama minimalisto sillon masajeador proyector 40 mil miedito comprar el,2024-03-07,5.0,0,es
tardar 30 compra teniar pasar unidos mexico directo mexico,2024-06-12,2.0,1,es
pagar sat aliexpress pedido llegar 48 llegar,2024-09-11,0.0,0,es
articulo caso entregar domicilio querer devolucion,2024-10-19,0.0,0,es
salir esperar calidad valer 4 dolar precio normal 20,2023-09-21,20.0,1,es
amar comprar aliexpress,2024-12-01,0.0,2,es
precio peso mexicano dolar,2024-06-12,0.0,1,es
querer comprar autobus escala precio 1500 confiable seguro llegir,2024-11-17,0.0,1,es
mes pedir encendedor asta hora llegar reclamo reporte vendedor,2024-02-16,37.0,0,es
aparecer enviar pagaste,2024-03-03,4.0,1,es
kiero cosa aliexpress valer 5 vender hondura,2024-09-07,0.0,1,es
comprir toma presion arterial meti pasar deciar pedido entregar llegar nd,2024-02-14,7.0,0,es
mes esperar pedido llegar aser jama volver comprar aplicacion,2024-09-24,0.0,0,es
pedir rd,2024-03-06,2.0,1,es
aplicacion querer comprar falda 18 pesos mexicano descuento 88,2024-05-02,15.0,0,es
peso dolar,2024-04-07,6.0,1,es
ayudar querer pedido,2024-04-13,3.0,1,es
revisen calificacion comprar venta,2024-04-14,3.0,1,es
traer aca guatemala,2024-02-27,8.0,1,es
alyexpress entrar unidos,2024-04-16,1.0,1,es
hola real oferta poner,2024-04-02,0.0,1,es
hola compra venezuela,2024-10-20,0.0,1,es
jalar dinero tarjeta,2024-11-07,0.0,0,es
pedi peluche dejar registrar yo cobrar cobrar peluche comprado llegar,2024-10-12,0.0,0,es
pagar impuesto querer comprar cobrar articu el envio gratis pagar impuesto,2024-09-22,0.0,1,es
cobrar adicional x envio precio sol,2024-10-02,0.0,1,es
compra minimo,2024-09-19,0.0,1,es
mexico llegar envio,2024-09-09,0.0,1,es
ver video pagar producto entrega fallido solucionar quedar dinero,2024-08-19,0.0,0,es
isar 4 pa probar q madre confiir xd,2024-06-01,0.0,1,es
acabar comprar telefono reacondicionado esperar reflejar pago mercado pago suceder malo llegar aprox 5,2024-05-23,0.0,1,es
triciclo electrico,2024-05-22,0.0,2,es
precio aparecer 2829 dolar peso mexicano,2024-05-19,0.0,1,es
hola poner 1122 precio poner peso mexicano dolar,2024-05-17,0.0,1,es
precio peso mexicano dolar,2024-05-15,0.0,1,es
pagar pedido exhibicion salir pago separado,2024-05-15,0.0,1,es
precio 16 93 precio real,2024-05-13,0.0,1,es
bajar aplicacion salir costo mexicano,2024-05-10,0.0,0,es
compre jajajqj esperemo llegar,2024-05-03,0.0,1,es
vender katana demon slayer comprar,2024-04-23,0.0,1,es
ami desactivado comprar,2024-04-22,0.0,0,es
ultimo compra celular salir,2024-02-22,0.0,1,es
tiempo llegar 45,2024-02-21,0.0,1,es
paisar ecuador,2024-02-12,0.0,1,es
comprar util,2024-01-29,0.0,1,es
pregunta aplicacion pagar oxxo,2024-03-24,9.0,0,es
valer envio producto,2024-04-26,0.0,1,es
agradecer el suficiente ayudar yo recuperar dinero,2024-09-05,1.0,2,es
